,Incident Date,State,City Or County,Address,# Killed,# Injured
3584,"July 30, 2014",North Carolina,Hope Mills,926 Bramblegate Road,3,2
3585,"July 28, 2014",Pennsylvania,Philadelphia,4900 block of North Front Street,1,4
3586,"July 27, 2014",Missouri,Saint Louis,2000 block of East John Avenue,0,5
3587,"July 26, 2014",Arkansas,Pine Bluff,,1,3
3588,"July 26, 2014",Georgia,Sylvester,Royal Street,0,8
3589,"July 26, 2014",Maine,Saco,35 Water Street,5,0
3590,"July 25, 2014",Illinois,Chicago,700 South California Avenue,1,6
3591,"July 23, 2014",Pennsylvania,North Braddock,700 block of Hickory Street,0,4
3592,"July 21, 2014",Tennessee,Memphis,300 block of Foote Park Lane,0,4
3593,"July 21, 2014",New Jersey,Irvington,36 Welland Avenue,0,6
3594,"July 20, 2014",Illinois,East Saint Louis,5103 Bunkhum Rd,1,3
3595,"July 20, 2014",Missouri,Saint Louis,5100 block of Bunkum Road,1,3
3596,"July 20, 2014",Nevada,Las Vegas,Rancho Drive 3400 block ,1,3
3597,"July 19, 2014",Illinois,Chicago,1300 North Mason Avenue,0,4
3598,"July 14, 2014",California,Sacramento,Fulton Avenue ,1,4
3599,"July 13, 2014",District of Columbia,Washington,1700 block of Lincoln Road NE,0,4
3600,"July 13, 2014",Washington,Skyway,12600 Renton Avenue South ,0,5
3601,"July 13, 2014",Connecticut,Stamford,84 West Park Place,0,5
3602,"July 12, 2014",California,Pasadena,1700 block of Summit Avenue,3,2
3603,"July 11, 2014",Illinois,Chicago,5200 West Quincy Street,1,3
3604,"July 9, 2014",Texas,Spring,711 Leaflet Lane,6,1
3605,"July 8, 2014",Rhode Island,Providence,35 March Street,0,5
3606,"July 7, 2014",Kentucky,Stopover,KY 194E,0,4
3607,"July 7, 2014",California,San Bernardino,312  E Baseline Street ,1,4
3608,"July 6, 2014",Florida,Miami,NW 20th Ave and NW 62nd St,2,2
3609,"July 6, 2014",Missouri,Saint Louis,4600 block of Natural Bridge Avenue,0,4
3610,"July 6, 2014",New York,Buffalo,100 block of Erb Street,0,4
3611,"July 5, 2014",Michigan,Kalamazoo,,0,4
3612,"July 5, 2014",Oregon,Portland,333 SE 122ND Ave,1,4
3613,"July 5, 2014",Indiana,Indianapolis,Broad Ripple Avenue,0,7
3614,"July 5, 2014",Illinois,Centreville,4700 Piggott Avenue,0,5
3615,"July 5, 2014",Texas,Houston,1700 Almeda-Genoa,0,6
3616,"July 5, 2014",Virginia,Norfolk,861 W. 36th Street,0,7
3617,"July 4, 2014",Virginia,Norfolk,1722 Thurgood Street,0,5
3618,"July 2, 2014",Pennsylvania,Chester,1400 block of West Congress Street,0,5
3619,"June 30, 2014",Kentucky,Lexington,Scottsdale Circle,1,3
3620,"June 29, 2014",California,Los Angeles,1100 block of North Vermont Avenue,1,5
3621,"June 29, 2014",Louisiana,New Orleans,700 Bourbon Street,1,9
3622,"June 29, 2014",Missouri,Saint Louis,2800 block of Dayton,0,4
3623,"June 28, 2014",California,Antioch,5500 Cedar Point Way,0,7
3624,"June 28, 2014",New York,Manhattan,Fifth Avenue and West 139th Street,0,4
3625,"June 27, 2014",California,San Diego,1800 block of Cathy Street,1,3
3626,"June 27, 2014",California,San Diego,1600 block of Cathy Street,1,3
3627,"June 27, 2014",Michigan,Detroit,Grand Street and Lasalle Street,2,2
3628,"June 26, 2014",Michigan,Detroit,Grand St,2,2
3629,"June 26, 2014",Wisconsin,Milwaukee,24th and Locust,0,5
3630,"June 25, 2014",Massachusetts,Lowell,Midland Street,0,5
3631,"June 24, 2014",Florida,Miami,Northwest 12th Avenue and 65th Street,2,7
3632,"June 22, 2014",California,Windsor,Windsor Avenue,1,3
3633,"June 21, 2014",District of Columbia,Washington,Florida Avenue and U Street NW,0,4
3634,"June 21, 2014",Tennessee,Memphis,2119 East Alcy Road,0,5
3635,"June 20, 2014",Maryland,Seat Pleasant,6600 block of Greig Street,0,4
3636,"June 15, 2014",Indiana,Kokomo,5100 Clinton Drive,0,4
3637,"June 15, 2014",Illinois,Park Forest,200 Berry Street,0,4
3638,"June 13, 2014",California,Los Angeles,8600 block of South Figueroa Street,3,1
3639,"June 9, 2014",New Jersey,Paterson,Rosa Parks Boulevard and Godwin Avenue,0,6
3640,"June 8, 2014",Alabama,Opp,611 Hardin Street,1,4
3641,"June 7, 2014",Michigan,Oak Park,10811 W. Ten Mile Rd.,1,3
3642,"June 7, 2014",South Carolina,Moncks Corner,Tish Lane,1,5
3643,"June 3, 2014",Georgia,Atlanta,Auburn Avenue,1,4
3644,"June 2, 2014",Illinois,Chicago,2660 E. 79th St,0,7
3645,"June 1, 2014",Illinois,Chicago,West Ferdinand Street and North Lavergne Avenue ,1,5
3646,"June 1, 2014",California,Sacramento,6500 46th Street,0,4
3647,"May 31, 2014",California,San Bernardino,,1,3
3648,"May 25, 2014",Ohio,Toledo,2100 block of Joffre Avenue,1,3
3649,"May 24, 2014",Michigan,Detroit,Strathmoor Street,0,4
3650,"May 24, 2014",South Carolina,Myrtle Beach,Ocean Boulevard near First Avenue North,3,1
3651,"May 23, 2014",California,Goleta (Isla Vista),840 Embarcadero Del Norte,4,8
3652,"May 23, 2014",Louisiana,New Orleans,6200 block of Eads Street,1,7
3653,"May 23, 2014",California,Bellflower,9541 Flower Street,2,2
3654,"May 21, 2014",Texas,Dallas,4500 block of Village Fair Drive,1,3
3655,"May 18, 2014",Ohio,Sandusky,1643 Cleveland Rd,0,7
3656,"May 17, 2014",California,Coachella,84000 block of Pedro Drive,1,3
3657,"May 17, 2014",District of Columbia,Washington,2200 block of Adams Place NE,0,5
3658,"May 13, 2014",Georgia,Atlanta,Panther Trail and Childress Drive,0,5
3659,"May 12, 2014",Illinois,Chicago,3400 West 24th Street,0,4
3660,"May 11, 2014",California,Sacramento,Peregrine Park,1,6
3661,"May 11, 2014",Tennessee,Memphis,2517 Shasta,0,7
3662,"May 10, 2014",Georgia,Stone Mountain,1100 To Lani Farm Road,1,3
3663,"May 10, 2014",Georgia,Decatur,Shamrock Drive ,2,3
3664,"May 10, 2014",California,Sacramento,Natomas,1,6
3665,"May 4, 2014",Colorado,Wheat Ridge,12100 W 44th,0,4
3666,"May 4, 2014",Illinois,Chicago,500 West Erie Street,1,3
3667,"May 3, 2014",Arkansas,Jonesboro,2201 Moore Road; Dalton Farmer Drive; County Road 664,4,4
3668,"April 30, 2014",Illinois,Chicago,7200 South Phillips Avenue,0,4
3669,"April 29, 2014",Georgia,Kennesaw,1675 Airport Road,1,6
3670,"April 27, 2014",New York,Troy,Fourth Street,0,5
3671,"April 25, 2014",Tennessee,Memphis,2000 Chelsea Avenue,2,3
3672,"April 22, 2014",California,Los Angeles,6419 Brynhurst Avenue,1,3
3673,"April 20, 2014",Illinois,Montgomery,1300 block of Jackson Street,0,6
3674,"April 20, 2014",Florida,Tampa,2902 N. 32nd St.,2,2
3675,"April 20, 2014",Illinois,Chicago,6600 South Michigan Ave,0,5
3676,"April 14, 2014",District of Columbia,Washington,1500 block of 19th Street,0,4
3677,"April 12, 2014",Louisiana,New Orleans,2100 block of Pauger Street,1,3
3678,"April 11, 2014",Indiana,Richmond,North 15th and H Streets,0,4
3679,"April 9, 2014",Tennessee,Lookout Valley,Kellys Ferry Road and Kellys Ferry Place,3,1
3680,"April 9, 2014",Illinois,Rockford,300 North Sunset,0,4
3681,"April 7, 2014",Louisiana,New Orleans,500 block of South Alexander Street,0,4
3682,"April 6, 2014",Massachusetts,Springfield,90 Worthington St.,0,4
3683,"April 6, 2014",Oklahoma,Oklahoma City,Northwest 29th Street and Portland Avenue,0,4
3684,"April 5, 2014",Illinois,Chicago,4300 W Wilcox Street,1,5
3685,"April 5, 2014",Arizona,Phoenix,West Palm Lane near 54th Avenue,1,3
3686,"April 5, 2014",California,Fairfield,Orchid Street ,0,4
3687,"April 2, 2014",Texas,Fort Hood,Motor Pool Road and Tank Destroyer Boulevard,4,16
3688,"March 30, 2014",North Carolina,Charlotte,4300 Sunset Road,0,5
3689,"March 30, 2014",Mississippi,Starkville,,0,5
3690,"March 23, 2014",Texas,Arlington,2700 Majesty Drive,1,3
3691,"March 23, 2014",California,San Francisco,Turk and Taylor,0,7
3692,"March 23, 2014",California,Long Beach,601 Long Beach Boulevard,1,3
3693,"March 21, 2014",South Carolina,North Charleston,7550 Dorchester Road,0,4
3694,"March 16, 2014",Texas,Beaumont,Fourth Street,3,1
3695,"March 16, 2014",Georgia,Waynesboro,4960 Highway 80 West ,0,4
3696,"March 14, 2014",New York,Brooklyn,S. Second and Roebling Sts,0,4
3697,"March 9, 2014",Ohio,Fremont,531 W State St,3,1
3698,"March 9, 2014",Texas,Austin, 4900 block of West Race Avenue,0,6
3699,"March 8, 2014",California,Richmond,1600 block of First Street,1,3
3700,"March 8, 2014",Illinois,Chicago,4900 West Race Ave,0,6
3701,"March 5, 2014",South Carolina,Pelzer,Law Street,3,2
3702,"March 1, 2014",Pennsylvania,Pittsburgh,Hamilton Avenue,1,4
3703,"March 1, 2014",Michigan,Detroit,7800 Gratiot Av.,0,4
3704,"February 25, 2014",Virginia,Glade Spring,Graceland Lane,5,1
3705,"February 22, 2014",California,Wilmington,1200 block of W Papeete St,0,4
3706,"February 20, 2014",Indiana,Indianapolis,3400 block of South Parker,4,0
3707,"February 20, 2014",California,Alturas,300 W 1st St,4,1
3708,"February 16, 2014",Texas,Dallas,2600 block of South Harwood Street,1,7
3709,"February 16, 2014",Indiana,Fort Wayne,Lafayette Street and East Tillman Road,0,5
3710,"February 16, 2014",Texas,Fort Worth, 115 NW 25th St.,1,4
3711,"February 16, 2014",Florida,Orange County,4500 block of Riviera Shores ,1,6
3712,"February 16, 2014",Florida,Jacksonville,1187 S. Edgewood Ave.,1,4
3713,"February 15, 2014",Nevada,Las Vegas,Sahara and Maryland ,0,5
3714,"February 12, 2014",Indiana,Gary,2220 block of South Broadway Av,0,5
3715,"February 12, 2014",California,Stockton,Constitution Park,1,3
3716,"February 12, 2014",California,Oakland,37th and International ,1,3
3717,"February 7, 2014",Florida,Miami,Northwest 41st Street and 9th Avenue ,0,5
3718,"February 6, 2014",Louisiana,New Orleans,4600 block of Downman Road,0,4
3719,"February 5, 2014",Illinois,Chicago,6740 N. Clark St,1,3
3720,"February 3, 2014",Indiana,Franklin,2100 block of Bridlewood Dr,3,2
3721,"January 27, 2014",Washington,Seattle,2nd Avenue South and South Main Street,1,4
3722,"January 27, 2014",North Carolina,Rocky Mount,Edwards Street ,0,4
3723,"January 25, 2014",Florida,Belle Glade,600 block of Covenant Drive,0,4
3724,"January 25, 2014",Illinois,Chicago,S. Union Av and W. 51st St,1,4
3725,"January 21, 2014",New Jersey,Newark,Springfield Avenue ,2,3
3726,"January 20, 2014",Virginia,Manassas,8509 Rixlew Ln,0,4
3727,"January 16, 2014",Utah,Spanish Fork,37 N. 630 West,5,0
3728,"January 16, 2014",Oklahoma,Ardmore,,2,4
3729,"January 14, 2014",California,Los Angeles,West 86th Street,0,4
3730,"January 13, 2014",Michigan,Detroit,800 block of Calvert St,0,4
3731,"January 12, 2014",Louisiana,Tallulah,,0,6
3732,"January 12, 2014",Alabama,Huntsville,University Drive,0,5
3733,"January 12, 2014",Illinois,Elgin,300 block of North Street,0,5
3734,"January 11, 2014",Louisiana,Tallulah,3600 block of Highway 80 W,0,6
3735,"January 11, 2014",Oregon,Portland,Southeast Stark and 99th ,0,5
3736,"January 3, 2014",New York,Queens,Farmers Boulevard and 133rd Avenue,1,3
3737,"January 1, 2014",Virginia,Norfolk,Rockingham Street and Berkley Avenue Extended,2,2
3738,"December 31, 2015",Louisiana,New Orleans,1900 block of Amelia Street,0,6
3739,"December 27, 2015",Tennessee,Jackson,North Parkway,0,4
3740,"December 26, 2015",Pennsylvania,Philadelphia,4210 Macalester St,0,4
3741,"December 25, 2015",Florida,Jacksonville,Franklin and Odessa,0,4
3742,"December 25, 2015",Alabama,Mobile,785 Schillinger Rd S,0,4
3743,"December 21, 2015",California,San Leandro,14600 block of East 14th Street,0,4
3744,"December 20, 2015",North Carolina,Wilmington,11th and Castle Street,1,4
3745,"December 20, 2015",Florida,Miami (Goulds),21630 Southwest 120th Avenue,1,4
3746,"December 20, 2015",Florida,Miami-dade (county),Northeast Seventh Avenue and Northeast 166th Street,0,4
3747,"December 14, 2015",Illinois,Lovejoy (Brooklyn),307 Jefferson St,1,3
3748,"December 13, 2015",California,Los Angeles,5550 S. Flower Street,1,3
3749,"December 13, 2015",California,Huntington Beach,17000 block of Keelson Lane,0,4
3750,"December 12, 2015",Georgia,Savannah,Whitaker Street,0,4
3751,"December 11, 2015",Maryland,Baltimore,5100 block of Park Heights Avenue,1,3
3752,"December 11, 2015",Pennsylvania,Pittsburgh (Mount Oliver),200 block of  Brownsville Road,0,4
3753,"December 8, 2015",Ohio,Cincinnati (Fairmount),2300 block of Baltimore Avenue,1,3
3754,"December 6, 2015",Louisiana,Raceland,Market Street,1,3
3755,"December 6, 2015",Nebraska,Omaha,North 108th Street and Military Road,2,3
3756,"December 2, 2015",California,San Bernardino,1365 South Waterman Avenue,16,19
3757,"December 2, 2015",Georgia,Savannah,100 block of West 33rd Street,1,3
3758,"November 29, 2015",Illinois,Kankakee,648 E. Court St,0,5
3759,"November 27, 2015",Colorado,Colorado Springs,3480 Centennial Blvd,3,9
3760,"November 27, 2015",California,Sacramento,7900 block of Florin Road,2,2
3761,"November 24, 2015",South Carolina,Horry (county),1321 Colletta Court,0,4
3762,"November 23, 2015",Ohio,Columbus,90 block of S. Terrace Avenue,4,1
3763,"November 23, 2015",Minnesota,Minneapolis,Morgan Avenue North,0,5
3764,"November 22, 2015",Texas,Brownsville,1800 block of FM 802,0,4
3765,"November 22, 2015",Washington,Seattle,Broadway and Pike,0,4
3766,"November 22, 2015",New York,Newburgh,203 Broadway,0,5
3767,"November 22, 2015",South Carolina,North Charleston,Park Circle,1,3
3768,"November 22, 2015",Illinois,Chicago,4100 block of West Roosevelt,0,4
3769,"November 22, 2015",Louisiana,New Orleans,1900 block of Gallier Street,0,17
3770,"November 21, 2015",Maryland,Baltimore,Stricker and School,1,3
3771,"November 20, 2015",Pennsylvania,Pittsburgh,Prospect Drive,1,3
3772,"November 18, 2015",California,Fresno,California Avenue and Martin Luther King Jr. Boulevard,0,5
3773,"November 16, 2015",Alabama,Cherokee (county),1400 block of County Road 664,3,1
3774,"November 15, 2015",Pennsylvania,Philadelphia,5600 block of Blakemore Street,0,4
3775,"November 15, 2015",Texas,Tennessee Colony,800 block of County Road 2217,5,0
3776,"November 14, 2015",Pennsylvania,Johnstown,1159 Main St,0,4
3777,"November 13, 2015",Florida,Jacksonville,1300 block of South Shirley Oaks Drive,4,1
3778,"November 9, 2015",Indiana,Indianapolis,400 block of North Beville Ave,2,2
3779,"November 8, 2015",Iowa,Des Moines,4397 NW 6th Drive,1,3
3780,"November 8, 2015",Michigan,Warren,13859 8 Mile Road,0,4
3781,"November 7, 2015",Colorado,Denver,Bayaud and Bannock,1,3
3782,"November 6, 2015",California,Bakersfield,1000 block of Feliz Drive,0,4
3783,"November 3, 2015",Florida,Jacksonville,Ella Street and Kings Road,2,3
3784,"November 2, 2015",South Carolina,Pendleton,2217 Refuge Road,4,0
3785,"October 28, 2015",Louisiana,Houma,400 block of Morgan Street,1,3
3786,"October 27, 2015",Texas,Fort Worth,1700 block of Southcrest Drive,0,5
3787,"October 26, 2015",Indiana,Evansville,711 E Virginia St,0,5
3788,"October 25, 2015",North Carolina,Four Oaks,2339 Stricklands Crossroads Road,0,5
3789,"October 25, 2015",Arizona,Phoenix,Seventh Street and Broadway,1,4
3790,"October 25, 2015",District of Columbia,Washington,4300 block of Wheeler Road SE,0,5
3791,"October 24, 2015",South Carolina,Bamberg,682 Dixie Ave.,0,4
3792,"October 22, 2015",Tennessee,Nashville,3500 John A. Merritt Boulevard,1,3
3793,"October 19, 2015",Illinois,Calumet City,300 Campbell Avenue,0,6
3794,"October 18, 2015",Louisiana,New Orleans,2600 block of Caffin Avenue,0,4
3795,"October 17, 2015",Florida,Fort Myers,2224 First St,1,4
3796,"October 17, 2015",Indiana,Elkhart,160 Easy Shopping Place,0,4
3797,"October 12, 2015",Georgia,Decatur,4731 Glenwood Road,0,4
3798,"October 10, 2015",Tennessee,Memphis,6135 Mount Moriah Road,0,6
3799,"October 10, 2015",North Carolina,Charlotte,1900 block of West Boulevard,0,4
3800,"October 10, 2015",Illinois,Peoria,2405 North Flora,1,3
3801,"October 9, 2015",Arizona,Flagstaff,216 E Mountain View Drive,1,3
3802,"October 6, 2015",Maryland,Baltimore,300 block of North Payson Street,0,5
3803,"October 2, 2015",Maryland,Baltimore,5400 Reisterstown Road,1,4
3804,"October 1, 2015",Oregon,Roseburg,1140 Umpqua College Rd,10,9
3805,"September 28, 2015",Ohio,Cincinnati (Evanston),1800 block of Hewitt Avenue,0,5
3806,"September 28, 2015",Illinois,Chicago,300 block of West 42nd Street,3,2
3807,"September 28, 2015",Illinois,Chicago,5300 block of South Aberdeen Street,2,3
3808,"September 28, 2015",Ohio,Dayton,1921 Oakridge,0,4
3809,"September 27, 2015",Georgia,Greenville,1140 Hill Haven Road,0,10
3810,"September 27, 2015",Illinois,Chicago,5200 block of South Justine,0,4
3811,"September 27, 2015",Missouri,Kansas City,1700 E. 18th St.,0,4
3812,"September 25, 2015",Illinois,Danville,1300 block of May Street,0,4
3813,"September 24, 2015",Illinois,Chicago,5100 block of South Morgan Street,0,5
3814,"September 23, 2015",Louisiana,Shreveport,2900 block of Peach Street,0,5
3815,"September 23, 2015",Florida,Fort Myers,Dale Street and Veronica S. Shoemaker Boulevard,0,4
3816,"September 23, 2015",Georgia,Norcross,1300 block of Reddington Lane,1,3
3817,"September 20, 2015",Pennsylvania,Philadelphia,900 block of Pratt Street,1,3
3818,"September 20, 2015",Illinois,Chicago,5700 block of South LaSalle,1,5
3819,"September 20, 2015",Oklahoma,Tulsa,Pine and Yale,0,6
3820,"September 19, 2015",Indiana,Indianapolis,3900 block of Graceland Avenue,1,3
3821,"September 17, 2015",South Dakota,Geddes,36705 379th Street,6,0
3822,"September 17, 2015",Michigan,Albion,500 block of W. Broadwell Street,0,4
3823,"September 15, 2015",New Jersey,Newark,Irvine Turner Boulevard and West Kinney Street,0,4
3824,"September 13, 2015",Florida,Ocala,1910 South Pine Avenue,1,5
3825,"September 12, 2015",Louisiana,Shreveport,1500 block of Clanton Street,0,4
3826,"September 12, 2015",New York,Rochester,36 Woodward Street,2,4
3827,"September 12, 2015",Minnesota,Minneapolis,1st Ave. and N. 5th St.,0,6
3828,"September 12, 2015",Minnesota,Minneapolis,1200 block of 22nd Ave. N.,1,3
3829,"September 11, 2015",North Carolina,Charlotte,1000 North Carolina Music Factory Blvd.,0,5
3830,"September 10, 2015",Minnesota,Excelsior (Greenwood),Channel Drive,5,0
3831,"September 8, 2015",Georgia,Berlin,,0,4
3832,"September 8, 2015",Illinois,Chicago,56th and Green,0,4
3833,"September 7, 2015",Indiana,Gary,9300 block of Sunrise,2,4
3834,"September 7, 2015",Colorado,Denver,1909 Blake Street,0,4
3835,"September 5, 2015",North Carolina,Charlotte,6800 block of Fieldvale Place,1,3
3836,"September 5, 2015",Florida,Daytona Beach,300 block of Pearl Street,0,4
3837,"September 5, 2015",Nevada,Las Vegas,5000 block of Hollywood Boulevard,1,3
3838,"September 5, 2015",Missouri,Columbia,1509 Ashley Street,0,4
3839,"August 30, 2015",Tennessee,Memphis,3300 block of Sobota Circle,1,4
3840,"August 29, 2015",Tennessee,Bristol,618 Henson Road,3,2
3841,"August 29, 2015",Texas,Tyler,638 ENE Loop 323,1,3
3842,"August 28, 2015",New York,Brooklyn,589 Flatbush Avenue,1,3
3843,"August 27, 2015",California,Salinas,928 Blanco Circle,2,2
3844,"August 26, 2015",Illinois,Chicago,3025 W. Van Buren Ave,2,2
3845,"August 26, 2015",Minnesota,Minneapolis (Brooklyn Center),5000 block of Drew Avenue North,0,4
3846,"August 26, 2015",Florida,West Palm Beach,800 block of 19th Street,2,2
3847,"August 25, 2015",Louisiana,New Orleans,Fern Street and Olive Street,1,3
3848,"August 23, 2015",California,Modesto,1100 block of Kansas Avenue,1,7
3849,"August 22, 2015",Florida,Orlando (Pine Hills),State Road 408,0,4
3850,"August 22, 2015",New Mexico,Roswell,302 East Reed Street,3,1
3851,"August 21, 2015",North Carolina,Durham,2700 block of Hinson Drive,0,8
3852,"August 21, 2015",Ohio,Cincinnati,Mathis and Prentice,2,5
3853,"August 20, 2015",Texas,Grulla (La Grulla),FM 2360,2,2
3854,"August 19, 2015",New York,Rochester,500 Genesee Street,3,4
3855,"August 16, 2015",Texas,Fort Worth,3651 Sycamore School Rd,0,6
3856,"August 16, 2015",Illinois,Chicago,5400 block of West Division Street,0,4
3857,"August 16, 2015",South Carolina,Bennettsville,Highway 38N,0,5
3858,"August 15, 2015",Pennsylvania,Pittsburgh,West Prospect Avenue,1,3
3859,"August 15, 2015",California,Los Angeles,57th Street and South Normandie Avenue,0,4
3860,"August 15, 2015",South Carolina,Orangeburg,2868 Bamberg Road,1,3
3861,"August 10, 2015",California,Long Beach,1700 block of East 10th Street,0,4
3862,"August 9, 2015",Mississippi,Forest,Poplar Street,1,3
3863,"August 9, 2015",Michigan,Detroit,15200 block of Hazelridge,1,3
3864,"August 9, 2015",Missouri,Kansas City,40th Street and Pennsylvania Avenue,0,4
3865,"August 8, 2015",North Carolina,Gastonia,4908 Greenwood Drive,2,3
3866,"August 8, 2015",Arkansas,Blytheville,833 Anderson Street,1,11
3867,"August 8, 2015",Texas,Houston,2211 Falling Oaks,8,0
3868,"August 7, 2015",Vermont,Barre (Berlin),3182 Airport Road,4,0
3869,"August 6, 2015",South Carolina,Columbia,1505 Garden Plaza,0,4
3870,"August 4, 2015",Missouri,Saint Louis,2500 block of Semple,1,4
3871,"August 3, 2015",New York,Brooklyn,98 Dwight Street,0,5
3872,"August 2, 2015",New York,Brooklyn,Stanley Avenue and Crescent Street,0,9
3873,"August 2, 2015",Maryland,Baltimore,2700 block of Garrison Avenue,0,7
3874,"August 2, 2015",Illinois,Chicago,4800 block of West Kamerling Avenue,1,4
3875,"August 2, 2015",Georgia,Savannah,Barnard Street,0,5
3876,"August 2, 2015",Illinois,Chicago,6700 block of South Winchester Avenue,0,4
3877,"August 1, 2015",Florida,Orlando,5801 Shenandoah Way,0,4
3878,"July 30, 2015",Pennsylvania,Pittsburgh,Brushton Avenue,0,4
3879,"July 27, 2015",Illinois,Rockford,900 block of Kent Street,0,5
3880,"July 26, 2015",Missouri,Kansas City,Thompson and Colorado,2,3
3881,"July 26, 2015",Louisiana,New Orleans,Piety and Treasure street,0,4
3882,"July 25, 2015",Virginia,Hopewell,500 block of N. 7th Ave,0,4
3883,"July 24, 2015",Pennsylvania,Erie,200 block of West 29th Street,2,4
3884,"July 23, 2015",Louisiana,Lafayette,3141 Johnson Street,3,9
3885,"July 22, 2015",Georgia,Suwanee,5500 block of Old Atlanta Road,5,0
3886,"July 21, 2015",Florida,Miami Gardens,Northwest 25th Avenue and Miami Gardens Drive,1,3
3887,"July 20, 2015",New York,Bronx,E. 153rd St. and the Grand Concourse,0,6
3888,"July 19, 2015",Virginia,Suffolk,100 block of North Capitol Street,0,4
3889,"July 19, 2015",Kentucky,Louisville,2928 W Kentucky St,0,6
3890,"July 19, 2015",North Carolina,Rocky Mount,Interstate 64 and Raliegh Street,0,4
3891,"July 18, 2015",California,San Diego,200 block of South Bancroft Street,0,4
3892,"July 18, 2015",California,Santa Paula,Ojai-Santa Paula Street,0,5
3893,"July 18, 2015",Oregon,Salem,1550 Weston Ct NE,1,4
3894,"July 18, 2015",Louisiana,Baton Rouge,300 block of Brice Street,2,2
3895,"July 17, 2015",Illinois,Chicago,4400 block of W. Maypole,0,5
3896,"July 17, 2015",Ohio,Cincinnati (Westwood),3100 block of Sunshine Avenue,0,4
3897,"July 16, 2015",Tennessee,Chattanooga,4051 Amnicola Highway,6,2
3898,"July 16, 2015",Texas,Dallas,Singleton and Hampton,0,5
3899,"July 15, 2015",Georgia,Atlanta,500 block of Center Hill Avenue,0,5
3900,"July 15, 2015",Maryland,Baltimore,3500 block of West Garrison Boulevard,1,3
3901,"July 15, 2015",Ohio,Cleveland,700 block of Thornhill,0,7
3902,"July 15, 2015",Michigan,Detroit,9200 block of Memorial,0,4
3903,"July 15, 2015",South Carolina,Holly Hill,7050 Old State Road,4,1
3904,"July 14, 2015",Missouri,Saint Louis,1100 block of Riverview,0,4
3905,"July 13, 2015",California,Norwalk,11959 162nd Street,0,4
3906,"July 13, 2015",California,Stockton,400 block of McCloud Avenue,1,4
3907,"July 12, 2015",Illinois,River Forest,116 Lathrop Avenue,2,3
3908,"July 12, 2015",New Jersey,Jersey City,Sip and Van Wagenen avenues,0,4
3909,"July 7, 2015",Ohio,Cleveland,East 162nd Street and Miles Avenue,1,3
3910,"July 7, 2015",Maryland,Baltimore,900 block of West Fayette Street,3,1
3911,"July 5, 2015",Louisiana,Shreveport,3500 block of Hearne Avenue,0,8
3912,"July 5, 2015",Indiana,Fort Wayne,1400 block of McCulloch Street,0,9
3913,"July 5, 2015",New Jersey,East Orange,200 block of S. Clinton St,1,3
3914,"July 4, 2015",District of Columbia,Washington,2600 Douglas Place SE,1,3
3915,"July 4, 2015",Kentucky,Louisville,2500 block of West Broadway,0,4
3916,"July 4, 2015",Massachusetts,Pittsfield,Dewey Avenue,1,4
3917,"July 4, 2015",New York,Syracuse,Bellevue and Rich Street,0,4
3918,"July 4, 2015",Texas,San Antonio,1100 block of West Avenue,0,4
3919,"July 2, 2015",Indiana,Indianapolis,Lynn and Michigan,1,3
3920,"June 29, 2015",Florida,Opa Locka,13450 N.W. 30th Ave,0,4
3921,"June 28, 2015",Michigan,Detroit,Gratiot and Loretto,0,5
3922,"June 28, 2015",Illinois,Venice,,0,6
3923,"June 28, 2015",Delaware,Harrington,100 block of East St,0,6
3924,"June 27, 2015",Massachusetts,Taunton,Weir Street,1,3
3925,"June 27, 2015",Michigan,Detroit,Stringham Court,0,4
3926,"June 24, 2015",New York,New York (Manhattan),2110 Madison Ave,0,4
3927,"June 22, 2015",Pennsylvania,Philadelphia,700 block of East Hilton Street,0,7
3928,"June 21, 2015",Pennsylvania,Pittsburgh (Wilkinsburg),Rebecca and East Swissvale Avenue,0,4
3929,"June 21, 2015",Kentucky,Lexington,726 Georgetown St,1,4
3930,"June 20, 2015",Michigan,Detroit,Dexter and Webb,1,11
3931,"June 20, 2015",North Carolina,Morven,,0,4
3932,"June 20, 2015",Pennsylvania,Philadelphia,4100 block of Ogden Street,0,11
3933,"June 19, 2015",Rhode Island,Woonsocket,80 River Street,0,4
3934,"June 17, 2015",South Carolina,Charleston,110 Calhoun Street,9,0
3935,"June 16, 2015",Florida,Miami Gardens,600 block of Northwest 177th Street,0,4
3936,"June 15, 2015",New York,Brooklyn,673 Flatbush Avenue,0,4
3937,"June 14, 2015",New Jersey,Camden,2800 block of Mitchell Street,1,3
3938,"June 14, 2015",Oklahoma,Tulsa,1800 block of North Kingston,0,4
3939,"June 14, 2015",Missouri,Saint Louis,1400 block of North Market Street,0,4
3940,"June 13, 2015",Georgia,Fayetteville,600 block of Highway 279,1,4
3941,"June 13, 2015",Ohio,Columbus,1623 E. Hudson Street,4,1
3942,"June 13, 2015",Georgia,Milledgeville,451 North Flynn Street,1,3
3943,"June 13, 2015",New York,Bronx,2409 Creston Avenue,0,5
3944,"June 13, 2015",Oklahoma,Oklahoma City,500 block of Se 69th St,0,4
3945,"June 12, 2015",Florida,Allapattah,24th Avenue and 36th Street,0,4
3946,"June 11, 2015",Connecticut,Bridgeport,468 Trumbull Avenue,1,8
3947,"June 11, 2015",Texas,Houston,3400 block of Burkett,1,3
